time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160107:2010;0.0;0.0;0.0;0.0;-4.66;2.19;0.0
20160107:2110;0.0;0.0;0.0;0.0;-4.73;2.21;0.0
20160107:2210;0.0;0.0;0.0;0.0;-5.01;2.23;0.0
20160107:2310;0.0;0.0;0.0;0.0;-5.3;2.26;0.0
20160108:0010;0.0;0.0;0.0;0.0;-5.59;2.29;0.0
20160108:0110;0.0;0.0;0.0;0.0;-5.24;2.16;0.0
20160108:0210;0.0;0.0;0.0;0.0;-4.89;2.02;0.0
20160108:0310;0.0;0.0;0.0;0.0;-4.54;1.89;0.0
20160108:0410;0.0;0.0;0.0;0.0;-4.3;1.74;0.0
20160108:0510;0.0;0.0;0.0;0.0;-4.06;1.6;0.0
20160108:0610;0.0;0.0;0.0;0.0;-3.82;1.45;0.0
20160108:0710;0.0;0.0;0.0;0.0;-3.79;1.26;0.0
20160108:0810;0.0;7.0;0.0;7.6;-3.75;1.08;1.0
20160108:0910;1.0;1.0;0.0;14.51;-3.71;0.9;1.0
20160108:1010;0.0;0.0;0.0;0.0;-3.07;0.85;0.0
20160108:1110;0.0;0.0;0.0;0.0;-2.43;0.8;0.0
20160108:1210;0.0;0.0;0.0;0.0;-1.79;0.76;0.0
20160108:1310;0.0;0.0;0.0;0.0;-1.77;0.88;0.0
20160108:1410;0.0;2.0;0.0;13.91;-1.76;1.0;1.0
20160108:1510;0.0;0.0;0.0;0.0;-1.74;1.12;0.0
20160108:1610;0.0;0.0;0.0;0.0;-1.8;1.01;0.0
20160108:1710;0.0;0.0;0.0;0.0;-1.87;0.9;0.0
20160108:1810;0.0;0.0;0.0;0.0;-1.94;0.79;0.0
20160108:1910;0.0;0.0;0.0;0.0;-1.87;0.71;0.0
20160108:2010;0.0;0.0;0.0;0.0;-1.8;0.63;0.0
20160108:2110;0.0;0.0;0.0;0.0;-1.73;0.55;0.0
20160108:2210;0.0;0.0;0.0;0.0;-1.79;0.51;0.0
20160108:2310;0.0;0.0;0.0;0.0;-1.85;0.48;0.0
20160109:0010;0.0;0.0;0.0;0.0;-1.92;0.44;0.0
20160109:0110;0.0;0.0;0.0;0.0;-1.84;0.45;0.0
20160109:0210;0.0;0.0;0.0;0.0;-1.76;0.46;0.0
20160109:0310;0.0;0.0;0.0;0.0;-1.68;0.47;0.0
20160109:0410;0.0;0.0;0.0;0.0;-1.62;0.51;0.0
20160109:0510;0.0;0.0;0.0;0.0;-1.56;0.55;0.0
20160109:0610;0.0;0.0;0.0;0.0;-1.5;0.59;0.0
20160109:0710;0.0;0.0;0.0;0.0;-1.56;0.51;0.0
20160109:0810;0.0;15.0;0.0;7.66;-1.62;0.43;0.0
20160109:0910;0.0;19.0;0.0;14.59;-1.67;0.34;0.0
